"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm"
"1",1,72,4,76.3,62.9,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"4",1,23,4,26.8,84.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"5",2,62,3,25.2,38.8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"6",1,27,1,62,37.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"8",3,47,2,32,41.8,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"12",2,25,4,67.7,67.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"13",4,35,2,32.6,21.6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"14",4,36,2,31.2,20.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"17",13,20,3,32.6,13.6,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"18",3,80,3,76.3,38.8,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"19",5,35,1,31.2,39.7,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"23",1,65,3,25.1,13.2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"24",8,60,3,65.1,24.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"26",0,82,3,23.3,38.8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"29",4,36,2,20.7,13.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"30",3,79,2,64.2,80.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"31",6,65,3,67.7,35.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"34",1,72,3,43,38.3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"35",0,62,4,66.2,35.1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"36",1,46,2,48.8,20.1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"37",3,84,2,32,20.7,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"39",1,38,5,38.3,38.8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"44",0,30,3,62,80.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"45",0,30,3,31.2,12.6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"48",1,52,4,67.7,77.2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"50",1,70,3,45.4,39.7,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"51",2,59,4,83.8,62.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"52",2,46,4,77.4,67.7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"53",1,43,5,85.2,76.3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"56",7,66,3,21.5,19.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"61",1,49,3,25.2,45.1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"71",13,67,2,31.3,12.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"79",1,62,2,35.8,80.9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"80",6,23,2,26.8,20.1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"87",3,22,2,45.4,28.7,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"88",1,34,4,67.7,52.6,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"92",3,29,3,53.2,71.8,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"93",4,47,1,50.4,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"96",1,29,4,76.3,91.1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"97",2,46,3,41,25.7,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"98",6,71,3,35.8,20.7,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"99",1,28,3,26.5,20.1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"100",4,38,3,43,84.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"104",1,63,3,51.5,39.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"105",0,82,3,24,84.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"106",2,47,4,38.8,21.8,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"107",1,40,3,71.8,84.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"108",9,71,2,39.9,26.5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"111",3,61,3,50.4,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"112",4,52,1,34.6,38.3,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"113",6,48,3,43,21.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"114",1,40,4,37.6,57.8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"118",2,46,3,65.3,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"121",10,36,4,25.2,76.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"123",4,65,3,67.7,12.6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"132",3,43,3,85.2,50,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"137",6,56,3,76.3,33.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"139",3,23,5,92.8,59.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"140",3,34,1,19.6,21.6,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"143",1,36,3,52.4,50.7,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"145",4,69,3,28.7,24.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"146",7,56,3,24.6,12.6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"148",7,36,3,45.4,56.9,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"150",1,29,4,76.3,38.3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"153",1,70,3,76.3,35.1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"164",2,55,3,80.9,80.9,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"165",1,46,3,24.1,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"166",2,40,2,25,62,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"167",3,63,4,72.5,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"168",3,65,2,36.2,26.1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"172",2,34,3,62,26.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"173",2,29,3,81.5,84.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"175",1,41,3,62.9,80.9,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"176",2,39,1,27.2,21.8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"177",2,63,4,59.8,65.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"182",3,53,2,32,59.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"185",3,54,3,65.3,39.7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"190",1,49,3,38.3,25,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"193",0,64,3,45.4,28.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"196",3,56,3,71.6,47.9,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"197",1,30,4,27,69.3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"200",2,25,4,39.9,77.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"206",1,74,2,18.6,13.2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"207",2,43,1,62,20.1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"209",1,40,4,49.6,38.8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"215",7,36,2,34.7,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"226",3,33,1,52.1,32,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"227",1,43,3,88.7,57.5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"228",1,23,3,43,20.8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"232",0,23,3,57.5,21.6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"234",1,39,4,43,52,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"238",2,41,4,52.3,80.9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"239",1,27,3,31.2,38.8,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"243",2,28,1,31.4,24.2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"248",1,22,3,31.2,62.9,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"249",8,51,2,39.7,13.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"259",7,81,2,39.9,12.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"264",2,38,4,62,82.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"267",2,37,3,19.6,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"268",4,30,3,91.9,86.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"270",1,52,4,85.8,80.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"272",1,66,4,67.7,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"274",1,33,3,62,38.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"277",2,57,1,39.9,38.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"280",2,37,2,39.7,25,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"281",3,68,3,34.7,14,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"282",13,68,2,18.6,13.6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"284",2,41,4,61.4,54.6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"286",3,53,3,32,25,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"287",2,63,3,65.3,13.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"290",2,44,4,43,38.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"292",3,67,2,13.6,26.5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"296",2,61,1,58.4,12.6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"297",5,55,1,32.6,84.2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"300",2,28,4,65.3,26.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"301",7,60,4,89.3,80.9,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"303",3,78,3,38.3,39.7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"305",2,60,3,43,68.6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"306",2,26,2,25.2,39.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"311",6,68,4,31.6,67.7,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"312",14,66,4,25.2,38.8,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"313",2,75,2,46.5,20.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"318",2,73,3,76.3,52,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"321",1,23,3,86.8,76.3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"322",1,54,3,37.6,68,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"325",2,30,3,25.7,52,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"326",1,52,4,46,38.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"329",3,54,1,28.7,12.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"330",3,33,2,84.2,86.8,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"331",3,20,3,23.3,23.3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"334",4,35,3,28.5,23.8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"337",2,39,3,32,39.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"338",3,31,1,18.6,12.6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"344",3,66,2,67.7,80.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"347",2,74,1,28.7,26.8,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"348",2,47,3,20.7,13.2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"350",4,57,5,39.9,14,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"353",1,73,3,32,41.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"354",3,63,3,42.8,14.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"356",3,42,2,43,26.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"359",2,57,4,67.7,62.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"361",3,39,3,34.1,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"362",4,62,2,42.2,31.9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"364",9,70,2,39.9,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"371",1,68,4,66.1,84.2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"372",8,53,4,77.4,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"373",3,31,2,23.3,13.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"374",10,45,2,31.2,23.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"377",6,70,1,26.8,26.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"378",3,33,1,25.2,26.8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"379",0,66,2,76.3,35.8,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"381",2,45,4,77.4,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"383",1,59,3,20.7,26.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"384",2,70,2,26.8,24.6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"387",2,71,2,50,21.6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"388",3,63,3,67.7,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"390",2,77,3,25,23.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"391",5,89,3,26.8,35.8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"393",1,89,1,26.8,19.6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"397",3,72,2,83.8,38.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"407",1,57,3,48.3,56.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"411",9,51,3,18.6,23.8,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"412",2,84,3,32,19.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"413",2,29,4,38.8,69.3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"414",1,31,4,86.5,80.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"415",2,77,3,65.3,38.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"416",2,40,3,25.1,24.6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"419",1,24,4,75.5,84.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"422",1,31,4,31.1,28.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"423",0,85,3,32,55.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"424",6,42,2,34.7,26.8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"426",2,62,3,38.3,46.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"429",3,63,3,28.4,35.8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"431",1,59,3,48.3,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"432",2,75,3,38.3,35.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"434",0,45,2,39.7,12.6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"438",5,29,3,73.4,25.7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"439",6,32,3,59.1,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"441",3,39,3,23.3,44.6,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"447",1,39,2,86.5,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"449",0,47,4,79.3,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"454",2,64,3,46,44.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"455",0,29,2,63.7,21.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"456",2,36,4,80.2,60.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"459",2,56,4,62,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"464",6,72,2,28.7,26.8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"467",2,49,2,20.7,20.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"469",2,65,4,34.8,38.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"470",5,45,3,32,43,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"471",1,26,4,79.3,76.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"474",2,68,4,43,38.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"476",2,44,3,67.7,35.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"478",2,26,4,76.3,24.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"481",3,64,4,61.2,84.2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"482",3,57,4,77.4,43,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"484",1,18,4,91.1,39.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"485",2,58,2,81.6,25.7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"486",4,61,3,20.7,35.8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"491",5,71,2,62.6,38.8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"492",5,49,3,91.1,84.2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"494",7,72,4,65.1,12.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"495",1,38,3,65.1,84.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"496",3,65,3,57.4,41.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"502",0,29,5,67.7,35.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"508",1,37,3,91.1,82.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"510",1,37,1,36.2,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"511",2,34,4,67.7,43.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"512",2,34,4,39.9,84.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"514",4,70,4,41.6,20.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"515",5,61,4,52.4,38.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"516",3,24,3,86.1,23.8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"518",1,53,4,84.5,84.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"519",0,32,2,89.1,82.5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"520",0,49,2,50.4,28.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"522",1,23,2,39.9,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"523",1,41,3,73.4,75.5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"534",2,23,3,77.3,80.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"537",1,42,3,70.5,35.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"541",4,53,2,32,20.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"545",2,35,4,67.7,26.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"547",3,79,3,67.7,39.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"549",7,18,3,59.4,84.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"550",2,68,4,61.2,39.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"552",5,65,3,45.4,56.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"553",1,72,3,38.3,35.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"556",6,60,2,45.4,46.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"559",3,74,3,51.9,34.8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"561",1,27,4,92.8,54.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"562",2,28,3,84.5,92.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"563",1,23,5,56.9,71,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"565",2,37,2,67.7,59.1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"568",2,52,4,84.5,84.5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"570",1,24,4,86.6,20.8,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"571",2,25,3,69.4,77.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
